subset_path,config_id,name,method,seed_retrieval_mode,seed_dense_weight,seed_sparse_weight,continuity_mode,bridge_trigger_mode,bridge_trigger_threshold,local_rerank_mode,diversify_final_context,diversity_weight,k,radius,top_m,bridge_v2_max_skip_distance,bridge_v2_top_per_seed,context_budget,queries,seed_hit_rate,recall_at_k,mrr,evidence_hit_rate
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,adjacency_baseline|method=adjacency|k=8|context_budget=20|seed_mode=dense|dense_w=1.00|sparse_w=0.00|cont=idf_overlap|trigger=always:0.72|rerank=none|diversify=0:0.15,adjacency_baseline,adjacency,dense,1.0,0.0,idf_overlap,always,0.72,none,0,0.15,8,1,2,2,1,20,196.0,0.22959183673469388,1.0,1.0,0.7704081632653061
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,bridge_v1_baseline|method=bridge_v1_full|k=8|context_budget=20|seed_mode=dense|dense_w=1.00|sparse_w=0.00|cont=idf_overlap|trigger=always:0.72|rerank=none|diversify=0:0.15,bridge_v1_baseline,bridge_v1_full,dense,1.0,0.0,idf_overlap,always,0.72,none,0,0.15,8,1,2,2,1,20,196.0,0.22959183673469388,1.0,1.0,0.7704081632653061
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,bridge_v2_baseline|method=bridge_v2_baseline|k=10|context_budget=20|seed_mode=dense|dense_w=1.00|sparse_w=0.00|cont=idf_overlap|trigger=always:0.72|rerank=none|diversify=0:0.15,bridge_v2_baseline,bridge_v2_baseline,dense,1.0,0.0,idf_overlap,always,0.72,none,0,0.15,10,1,2,2,1,20,196.0,0.22959183673469388,1.0,1.0,0.8112244897959183
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,continuity_query_weighted|method=bridge_v21|k=10|context_budget=20|seed_mode=dense|dense_w=1.00|sparse_w=0.00|cont=query_weighted_overlap|trigger=always:0.72|rerank=none|diversify=0:0.15,continuity_query_weighted,bridge_v21,dense,1.0,0.0,query_weighted_overlap,always,0.72,none,0,0.15,10,1,2,2,1,20,196.0,0.22959183673469388,1.0,1.0,0.8112244897959183
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,diversify_only|method=bridge_v21|k=10|context_budget=20|seed_mode=dense|dense_w=1.00|sparse_w=0.00|cont=idf_overlap|trigger=always:0.72|rerank=none|diversify=1:0.15,diversify_only,bridge_v21,dense,1.0,0.0,idf_overlap,always,0.72,none,1,0.15,10,1,2,2,1,20,196.0,0.22959183673469388,1.0,1.0,0.8163265306122449
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,full_upgraded_pipeline|method=bridge_v21|k=10|context_budget=20|seed_mode=hybrid|dense_w=1.00|sparse_w=0.50|cont=idf_overlap|trigger=low_confidence:0.72|rerank=lightweight|diversify=1:0.15,full_upgraded_pipeline,bridge_v21,hybrid,1.0,0.5,idf_overlap,low_confidence,0.72,lightweight,1,0.15,10,1,2,2,1,20,196.0,0.25510204081632654,1.0,1.0,0.8163265306122449
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,hybrid_equal|method=bridge_v21|k=10|context_budget=20|seed_mode=hybrid|dense_w=1.00|sparse_w=1.00|cont=idf_overlap|trigger=always:0.72|rerank=none|diversify=0:0.15,hybrid_equal,bridge_v21,hybrid,1.0,1.0,idf_overlap,always,0.72,none,0,0.15,10,1,2,2,1,20,196.0,0.23979591836734693,1.0,1.0,0.8163265306122449
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,hybrid_soft|method=bridge_v21|k=10|context_budget=20|seed_mode=hybrid|dense_w=1.00|sparse_w=0.50|cont=idf_overlap|trigger=always:0.72|rerank=none|diversify=0:0.15,hybrid_soft,bridge_v21,hybrid,1.0,0.5,idf_overlap,always,0.72,none,0,0.15,10,1,2,2,1,20,196.0,0.25510204081632654,1.0,1.0,0.8214285714285714
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,rerank_only|method=bridge_v21|k=10|context_budget=20|seed_mode=dense|dense_w=1.00|sparse_w=0.00|cont=idf_overlap|trigger=always:0.72|rerank=lightweight|diversify=0:0.15,rerank_only,bridge_v21,dense,1.0,0.0,idf_overlap,always,0.72,lightweight,0,0.15,10,1,2,2,1,20,196.0,0.22959183673469388,1.0,1.0,0.8061224489795918
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,rerank_plus_diversify|method=bridge_v21|k=10|context_budget=20|seed_mode=dense|dense_w=1.00|sparse_w=0.00|cont=idf_overlap|trigger=always:0.72|rerank=lightweight|diversify=1:0.15,rerank_plus_diversify,bridge_v21,dense,1.0,0.0,idf_overlap,always,0.72,lightweight,1,0.15,10,1,2,2,1,20,196.0,0.22959183673469388,1.0,1.0,0.8112244897959183
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,tier1_combo|method=bridge_v21|k=10|context_budget=20|seed_mode=hybrid|dense_w=1.00|sparse_w=0.50|cont=idf_overlap|trigger=low_confidence:0.72|rerank=none|diversify=0:0.15,tier1_combo,bridge_v21,hybrid,1.0,0.5,idf_overlap,low_confidence,0.72,none,0,0.15,10,1,2,2,1,20,196.0,0.25510204081632654,1.0,1.0,0.8163265306122449
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,tier1_plus_diversify|method=bridge_v21|k=10|context_budget=20|seed_mode=hybrid|dense_w=1.00|sparse_w=0.50|cont=idf_overlap|trigger=low_confidence:0.72|rerank=none|diversify=1:0.15,tier1_plus_diversify,bridge_v21,hybrid,1.0,0.5,idf_overlap,low_confidence,0.72,none,1,0.15,10,1,2,2,1,20,196.0,0.25510204081632654,1.0,1.0,0.8163265306122449
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,tier1_plus_rerank|method=bridge_v21|k=10|context_budget=20|seed_mode=hybrid|dense_w=1.00|sparse_w=0.50|cont=idf_overlap|trigger=low_confidence:0.72|rerank=lightweight|diversify=0:0.15,tier1_plus_rerank,bridge_v21,hybrid,1.0,0.5,idf_overlap,low_confidence,0.72,lightweight,0,0.15,10,1,2,2,1,20,196.0,0.25510204081632654,1.0,1.0,0.8163265306122449
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,trigger_low_conf|method=bridge_v21|k=10|context_budget=20|seed_mode=dense|dense_w=1.00|sparse_w=0.00|cont=idf_overlap|trigger=low_confidence:0.72|rerank=none|diversify=0:0.15,trigger_low_conf,bridge_v21,dense,1.0,0.0,idf_overlap,low_confidence,0.72,none,0,0.15,10,1,2,2,1,20,196.0,0.22959183673469388,1.0,1.0,0.8112244897959183
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,trigger_small_gap|method=bridge_v21|k=10|context_budget=20|seed_mode=dense|dense_w=1.00|sparse_w=0.00|cont=idf_overlap|trigger=small_gap:0.05|rerank=none|diversify=0:0.15,trigger_small_gap,bridge_v21,dense,1.0,0.0,idf_overlap,small_gap,0.05,none,0,0.15,10,1,2,2,1,20,196.0,0.22959183673469388,1.0,1.0,0.8112244897959183
